paper_version,paper_table,row_index,row_label,result_position,dataset,metric,paper_value,cited_baseline_recomputed_value,cited_baseline_match_at_paper_precision,native_efs_result_credit,paper_result_credit,version_lineage_status
v1,benchmark,17,+ Scores to Weights,8,FF49,MDD,0.580,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,9,FF100,CW,1353.380,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,10,FF100,SR,0.239,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,11,FF100,MDD,0.453,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,12,FF100MEOP,CW,343.860,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,13,FF100MEOP,SR,0.200,,False,False,False,version_specific_result
v1,benchmark,17,+ Scores to Weights,14,FF100MEOP,MDD,0.532,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,0,FF25,CW,530.260,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,1,FF25,SR,0.246,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,2,FF25,MDD,0.520,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,3,FF32,CW,608.880,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,4,FF32,SR,0.234,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,5,FF32,MDD,0.529,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,6,FF49,CW,533.610,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,7,FF49,SR,0.228,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,8,FF49,MDD,0.500,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,9,FF100,CW,1289.850,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,10,FF100,SR,0.244,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,11,FF100,MDD,0.504,,False,False,False,version_specific_result
v1,benchmark,18,EFS-GPT 4.1,12,FF100MEOP,CW,565.410,,False,False,False,version_specific_result
